State,Year,O3 Mean,CO Mean,SO2 Mean,NO2 Mean,latitude,longitude
Alabama,2018.0,0.029481706806282724,0.20292657591623034,1.0905968167539266,7.968111507853403,32.318231,-86.902298
Alaska,2018.0,0.014814603833865812,0.3501854121405751,5.538084769968051,11.917843041533548,63.588753,-154.493062
Arizona,2018.0,0.03178482352941176,0.323446766573296,0.5933413996265173,13.265488723622783,34.048928,-111.093731
Arkansas,2018.0,0.025984419178082193,0.2866060931506849,0.6155970712328767,7.313595887671234,35.20105,-91.831833
California,2018.0,0.029035378705689414,0.32812964412766493,0.40856615743660907,9.465931522013372,36.778261,-119.417932
Colorado,2018.0,0.029677803212851402,0.32513061947791166,0.7307718373493975,17.50278172991968,39.550051,-105.782067
Connecticut,2018.0,0.026913742382271465,0.2484608975069252,0.234452027700831,12.314602952908587,41.603221,-73.087749
Delaware,2018.0,0.027539009316770186,0.23847934472049687,0.530906,9.85807600621118,38.910832,-75.52767
Florida,2018.0,0.02956623976608187,0.49251637134502924,0.2376189415204678,4.524383289473684,27.664827,-81.515754
Georgia,2018.0,0.022652650704225348,0.27398301971830985,0.11029007887323942,7.794591707042253,32.157435,-82.907123
Hawaii,2018.0,0.026281846394984324,0.3079029858934169,0.5978773181818181,3.985389263322884,19.898682,-155.665857
Idaho,2018.0,0.02732462204724409,0.185924905511811,0.25238729921259845,9.171515901574804,44.068202,-114.742041
Illinois,2018.0,0.02722070294117647,0.2685362617647059,0.5888902235294118,9.337847235294117,40.633125,-89.398528
Indiana,2018.0,0.026622936908517348,0.2691738454258675,0.4329353470031546,7.916832403785488,40.551217,-85.602364
Iowa,2018.0,0.028107800699300696,0.21232900769230767,0.26861022727272726,6.354312316083917,41.878003,-93.097702
Kansas,2018.0,0.027092171641791042,0.19703493283582088,0.5946659776119403,9.702774470149254,39.011902,-98.484246
Kentucky,2018.0,0.028246533527696793,0.23610544023323615,0.9604989970845482,9.222872746355685,37.839333,-84.270018
Louisiana,2018.0,0.02379612146892655,0.20187141525423727,0.5740355084745763,10.09460502259887,31.244823,-92.145024
Maine,2018.0,0.025856682274247488,0.17979213545150502,0.5222592608695652,5.134492453177258,45.253783,-69.445469
Maryland,2018.0,0.02979282978723404,0.1685248399189463,0.41892299189463017,5.569076985815603,39.045755,-76.641271
Massachusetts,2018.0,0.02675487283236994,0.21677806647398845,0.535560358381503,11.095130323699422,42.407211,-71.382437
Michigan,2018.0,0.03168116279069767,0.3812329302325581,0.5484381976744186,8.092178197674418,44.314844,-85.602364
Minnesota,2018.0,0.02644336945812808,0.2611138275862069,0.3650826453201971,7.3598786699507395,46.729553,-94.6859
Mississippi,2018.0,0.02668994466403162,0.1406471304347826,0.4957662450592885,7.039761233201581,32.354668,-89.398528
Missouri,2018.0,0.02874239855072464,0.23804692753623186,0.5203721942028985,11.184051411594202,37.964253,-91.831833
Nevada,2018.0,0.03421603886397608,0.29963239013452914,0.45581069656203294,13.699013967115096,38.80261,-116.419389
New Hampshire,2018.0,0.02979126129032258,0.18388644838709678,0.840535529032258,2.633923912903226,43.193852,-71.572395
New Jersey,2018.0,0.025539251069900144,0.24783333523537804,0.26288685306704707,12.5562000085592,40.058324,-74.405661
New Mexico,2018.0,0.037219334269662924,0.2356267556179775,0.5312455140449438,10.293573494382024,34.97273,-105.032363
New York,2018.0,0.02647215527065527,0.2844315413105413,0.5131047863247864,14.388844793447293,43.299428,-74.217933
North Carolina,2018.0,0.030060726586102718,0.23191999848942596,0.186763832326284,5.603889658610272,35.759573,-79.0193
North Dakota,2018.0,0.030283754985754984,0.1722972678062678,0.3780698262108262,4.898025698005698,47.551493,-101.002012
Ohio,2018.0,0.02730185380116959,0.23849273196881093,0.7093151803118909,10.751617289473684,40.417287,-82.907123
Oklahoma,2018.0,0.02829890572390572,0.2376367003367003,0.3570936767676768,7.563793808080809,35.007752,-97.092877
Oregon,2018.0,0.023402028985507244,0.2596713710144928,0.46627917101449273,8.672955608695652,43.804133,-120.554201
Pennsylvania,2018.0,0.027458766055045873,0.11042643272171253,0.5038938348623853,3.9050407064220187,41.203322,-77.194525
Rhode Island,2018.0,0.03319006983240223,0.20680354189944133,0.2724878882681564,6.522417226256984,41.580095,-71.477429
South Carolina,2018.0,0.03203017857142857,0.13060516666666666,0.21454510714285713,6.014658273809523,33.836081,-81.163725
South Dakota,2018.0,0.031092733893557423,0.18067348179271708,0.4416536778711485,4.709340868347339,43.969515,-99.901813
Tennessee,2018.0,0.038008659574468084,0.1799296170212766,0.11783677811550151,0.6120099331306991,35.517491,-86.580447
Texas,2018.0,0.026691296380090494,0.19540464932126697,0.3098927975113122,8.340197617647059,31.968599,-99.901813
Utah,2018.0,0.035279339388145314,0.407387276290631,0.23862469407265774,11.329861055449332,39.32098,-111.093731
Vermont,2018.0,0.02571922625698324,0.23457030446927374,0.5888644106145251,6.905295290502793,44.558803,-72.577841
Virginia,2018.0,0.030979453227931487,0.2117004532279315,0.2959496034255599,4.439417790513834,37.431573,-78.656894
Washington,2018.0,0.021452987987987986,0.21345507507507508,0.6482238078078079,10.526787348348348,47.751074,-120.740139
Wyoming,2018.0,0.03920213813813814,0.12871007207207205,0.33569088288288285,3.7534939879879885,43.075968,-107.290284
